Date,Total15,Total20,Total25,pseudoWindSpeedMPH
2014-02-24,36,0,0,15
2014-02-25,42,0,0,15
2014-02-26,24,0,0,15
2014-02-27,0,0,0,0
2014-02-28,34,0,0,15
2014-03-01,76,0,0,15
2014-03-02,61,0,0,15
2014-03-03,71,0,0,15
2014-03-04,47,0,0,15
2014-03-05,0,0,0,0
2014-03-06,69,33,0,20
2014-03-07,0,0,0,0
2014-03-08,63,0,0,15
2014-03-09,59,0,0,15
2014-03-10,0,0,0,0
2014-03-11,0,0,0,0
2014-03-12,46,0,0,15
2014-03-13,127,0,0,15
2014-03-14,86,29,0,20
2014-03-15,57,0,0,15
2014-03-16,41,0,0,15
2014-03-17,109,108,49,25
2014-03-18,0,0,0,0
2014-03-19,80,0,0,15
2014-03-20,0,0,0,0
2014-03-21,67,0,0,15
2014-03-22,39,0,0,15
2014-03-23,24,0,0,15
2014-03-24,0,0,0,0
2014-03-25,52,37,0,20
2014-03-26,119,88,0,20
2014-03-27,25,0,0,15
2014-03-28,0,0,0,0
2014-03-29,0,0,0,0
2014-03-30,146,78,0,20
2014-03-31,90,0,0,15
2014-04-01,76,0,0,15
2014-04-02,71,36,0,20
2014-04-03,31,0,0,15
2014-04-04,53,0,0,15
2014-04-05,53,0,0,15
2014-04-06,60,0,0,15
2014-04-07,34,0,0,15
2014-04-08,144,112,39,25
2014-04-09,38,0,0,15
2014-04-10,67,0,0,15
2014-04-11,90,0,0,15
2014-04-12,91,50,0,20
2014-04-13,81,0,0,15
2014-04-14,26,0,0,15
2014-04-15,27,0,0,15
2014-04-16,128,0,0,15
2014-04-17,48,0,0,15
2014-04-18,61,41,0,20
2014-04-19,59,0,0,15
2014-04-20,96,31,0,20
2014-04-21,93,0,0,15
2014-04-22,48,0,0,15
2014-04-23,87,0,0,15
2014-04-24,75,0,0,15
2014-04-25,72,32,0,20
2014-04-26,68,0,0,15
2014-04-27,0,0,0,0
2014-04-28,0,0,0,0
2014-04-29,0,0,0,0
2014-04-30,26,0,0,15
2014-05-01,0,0,0,0
2014-05-02,0,0,0,0
2014-05-03,155,49,0,20
2014-05-04,156,0,0,15
2014-05-05,89,0,0,15
2014-05-06,78,0,0,15
2014-05-07,65,0,0,15
2014-05-08,55,0,0,15
2014-05-09,46,0,0,15
2014-05-10,41,0,0,15
2014-05-11,31,0,0,15
2014-05-12,66,0,0,15
2014-05-13,90,32,0,20
2014-05-14,65,0,0,15
2014-05-15,115,109,25,25
2014-05-16,158,0,0,15
2014-05-17,158,61,0,20
2014-05-18,153,0,0,15
2014-05-21,105,85,0,20
2014-05-22,111,59,0,20
2014-05-23,97,40,0,20
2014-05-24,91,46,0,20
2014-05-25,56,0,0,15
2014-05-26,36,0,0,15
2014-05-27,57,0,0,15
2014-05-28,24,0,0,15
2014-05-29,0,0,0,0
2014-05-30,0,0,0,0
2014-05-31,0,0,0,0
2014-06-01,0,0,0,0
2014-06-02,0,0,0,0
2014-06-03,0,0,0,0
2014-06-04,0,0,0,0
2014-06-05,0,0,0,0
2014-06-06,0,0,0,0
2014-06-07,0,0,0,0
2014-06-08,0,0,0,0
2014-06-09,0,0,0,0
2014-06-10,0,0,0,0
2014-06-11,0,0,0,0
2014-06-12,0,0,0,0
2014-06-13,0,0,0,0
2014-06-14,0,0,0,0
2014-06-15,74,0,0,15
2014-06-16,81,0,0,15
2014-06-17,94,0,0,15
2014-06-18,58,0,0,15
2014-06-19,39,0,0,15
2014-06-20,77,0,0,15
2014-06-21,92,0,0,15
2014-06-22,64,0,0,15
2014-06-23,33,0,0,15
2014-06-24,56,0,0,15
2014-06-25,68,0,0,15
2014-06-26,24,0,0,15
2014-06-27,0,0,0,0
2014-06-28,24,0,0,15
2014-06-29,86,0,0,15
2014-06-30,31,0,0,15
2014-07-01,63,0,0,15
2014-07-02,59,0,0,15
2014-07-03,0,0,0,0
2014-07-04,0,0,0,0
2014-07-05,0,0,0,0
2014-07-06,0,0,0,0
2014-07-07,0,0,0,0
2014-07-08,0,0,0,0
2014-07-09,0,0,0,0
2014-07-10,63,0,0,15
2014-07-11,0,0,0,0
2014-07-12,0,0,0,0
2014-07-13,0,0,0,0
2014-07-14,43,0,0,15
2014-07-15,0,0,0,0
2014-07-16,0,0,0,0
2014-07-17,44,0,0,15
2014-07-18,0,0,0,0
2014-07-19,30,0,0,15
2014-07-20,95,0,0,15
2014-07-21,83,0,0,15
